Reference, Value, Footprint, Datasheet, manf#
P4,ICSP,uCm:Header_ISP,,PREC003DAAN-RC
P1,AREF,uCm:ShortLink2,
SW1,Reset,uCm:SW_PB_V_H,,FSMRA3JH
X1,16MHz,uCm:Xtal_SMD3,,TSX-3225 16.0000MF09Z-AC3
R3,10k,uCm:r_0805,,RMCF0805JT10K0
R2,10k,uCm:r_0805,,RMCF0805JT10K0
R1,10k,uCm:r_0805,,RMCF0805JT10K0
C3,22pF,uCm:c_0603,,CL10C220JB8NNNC
C2,22pF,uCm:c_0603,,CL10C220JB8NNNC
P5,FTDI,uCm:Header_FTDI,,PREC006SAAN-RC
U7,ATMEGA328-AU-ND,uCm:TQFP32,,ATMEGA328-AU
B8,PC0,uCm:I_O,
B9,PC1,uCm:I_O,
B10,PC6,uCm:I_O,
B11,PC7,uCm:I_O,
B12,PB0,uCm:I_O,
SW2,INT0,uCm:SW_PB_V_H,,FSMRA3JH
SW3,INT1,uCm:SW_PB_V_H,,FSMRA3JH
R22,10k,uCm:r_0805,,RMCF0805JT10K0
R21,10k,uCm:r_0805,,RMCF0805JT10K0
C28,100nF,uCm:c_0805,,CL21B104KCC5PNC
B4,PB0,uCm:I_O,
SC6,SCREW,uCm:vite_3mm,
SC9,SCREW,uCm:vite_3mm,
SC7,SCREW,uCm:vite_3mm,
SC10,SCREW,uCm:vite_3mm,
B7,PC1,uCm:I_O,
C1,100n,,,CL21B104KCC5PNC
C4,100n,,,CL21B104KCC5PNC
C27,100uF,uCm:C_ELCO_SMD,,UWT1V101MCL1GS
P9,C3SB,uCm:pin_strip_4-90,,PREC004SAAN-RC
U1,TXB0104D,uCm:TXB0104D,,TXB0104DR
R4,10k,uCm:r_0805,,RMCF0805JT10K0
Q1,BCP5416TA,uCm:SOT223,,BCP5416TA
P14,X_VALVE,uCm:X_Valve_2,,X-1-05-S-F
P7,GAGE_PR,uCm:HCEM500GUH9P3,,HCEM500GUH9P3
D1,S1D-13-F,uCm:diode-DO214AC,,S1D-13-F
C17,100nF,uCm:c_0805,,CL21B104KCC5PNC
C13,100nF,uCm:c_0805,,CL21B104KCC5PNC
C11,100nF,uCm:c_0805,,CL21B104KCC5PNC
C10,100nF,uCm:c_0805,,CL21B104KCC5PNC
C9,100nF,uCm:c_0805,,CL21B104KCC5PNC
C8,100nF,uCm:c_0805,,CL21B104KCC5PNC
C7,100nF,uCm:c_0805,,CL21B104KCC5PNC
P10,C3SB,uCm:pin_strip_4-90,,PREC004SAAN-RC
P11,VSel_Vlv,uCm:Header_3,,PREC003SAAN-RC
Q2,BCP5416TA,uCm:SOT223,,BCP5416TA
P18,Pump_Cable,,
R5,4k7,uCm:r_0805,,RMCF0805JT4K70
C29,100nF,uCm:c_0805,,CL21B104KCC5PNC
Q3,BCP5416TA,uCm:SOT223,,BCP5416TA
P38,X_VALVE2,uCm:X_Valve_2,,X-1-05-S-F
D9,S1D-13-F,uCm:diode-DO214AC,,S1D-13-F
C31,100nF,uCm:c_0805,,CL21B104KCC5PNC
P34,VSel_Vlv2,uCm:Header_3,,PREC003SAAN-RC
C14,100nF,uCm:c_0805,,CL21B104KCC5PNC
Q4,BCP5416TA,uCm:SOT223,,BCP5416TA
D3,S1D-13-F,uCm:diode-DO214AC,,S1D-13-F
R6,1k,uCm:r_0805,,RMCF0805JT1K00
SP1,BUZZER,uCm:Speaker,,PS1240P02BT
P17,PUMP,uCm:Pump_P54E01R_02,http://www.xavitech.com/products,P54E01R
R10,1k,uCm:r_0805,,RMCF0805JT1K00
R13,1k,uCm:r_0805,,RMCF0805JT1K00
R9,120E,uCm:r_0805,,RMCF0805JT120R
R8,330E,uCm:r_0805,,RMCF0805JT330R
P24,PWR_IN,uCm:JACK_ALIM,,PJ-002B
D7,BLINK,uCm:led_0805,,LG M67K-H1J2-24-Z
D8,12V,uCm:led_0805,,LG M67K-H1J2-24-Z
D6,3V3,uCm:led_0805,,LG M67K-H1J2-24-Z
D5,5V0,uCm:led_0805,,LG M67K-H1J2-24-Z
D4,S1D-13-F,uCm:diode-DO214AC,,S1D-13-F
G4,Logo_OH,uCm:OSHW_6mm,
G3,Logo_OH,uCm:OSHW_6mm,
G2,Logo_Wyolum,uCm:Logo-WL3,
G1,Logo_Wyolum,uCm:Logo-WL3,
P13,PWR_IN,uCm:Header_2,,PRPC002SFAN-RC
J1,5V_EXT,uCm:Header_2,,PRPC002SFAN-RC
J2,3V3_EXT,uCm:Header_2,,PRPC002SFAN-RC
U2,LM2675-5.0,uCm:SO8E,,LM2675MX-5.0/NOPB
C16,100uF 10V,uCm:C_2917_HandSoldering,,TPSD107M010R0050
C12,10nF,uCm:c_0805,,CL21B103KBANNNC
D2,SK35,uCm:Diode-SMA_Handsoldering,,SK35-7-F
W1,EN,uCm:r_0805,
U3,LM2675-3.3,uCm:SO8E,,LM2675MX-3.3/NOPB
C6,330uF 25V,uCm:C_ELCO_SMD,,UCL1E331MNL1GS
L2,33uH,uCm:Choke_SMD_Wuerth-WE-PD-Typ-M-Typ-S_Handsoldering,,34595
C15,10nF,uCm:c_0805,,CL21B103KBANNNC
D10,SK35,uCm:Diode-SMA_Handsoldering,,SK35-7-F
W2,EN,uCm:r_0805,
C18,100uF 10V,uCm:C_2917_HandSoldering,,TPSD107M010R0050
L1,33uH,uCm:Choke_SMD_Wuerth-WE-PD-Typ-M-Typ-S_Handsoldering,,34595
C5,330uF 25V,uCm:C_ELCO_SMD,,UCL1E331MNL1GS
U5,DS3231N,uCm:DS3231,,DS3231S#
R11,10k,uCm:r_0805,,RMCF0805JT10K0
C23,100nF,uCm:c_0805,,CL21B104KCC5PNC
BT2,BATT_COIN,,,CR2032
BT1,BATT_HOLDER,uCm:CR2032,,3003
B3,I_O,uCm:I_O,
B2,I_O,uCm:I_O,
B1,I_O,uCm:I_O,
