Part/Designator,Manufacture Part Number,Quantity
BT1,3003,1
BT2,CR2032,1
"C1,C4,C7,C8,C9,C10,C11,C13,C14,C17,C23,C28,C29,C31",CL21B104KCC5PNC,14
"C2,C3",CL10C220JB8NNNC,2
"C5,C6",UCL1E331MNL1GS,2
"C12,C15",CL21B103KBANNNC,2
"C16,C18",TPSD107M010R0050,2
C27,UWT1V101MCL1GS,1
"D1,D3,D4,D9",ES1D-13-F,4
"D2,D10",SS35,2
"D5,D6,D7,D8",LG M67K-H1J2-24-Z,4
"L1,L2",784775133,2
P24,PJ-002B,1
"Q1,Q2,Q3,Q4",BCP5416TA,4
"R1,R2,R3,R11,R12,R14,R15,R16,R21,R22",RMCF0805JT10K0,10
R5,RMCF0805JT4K70,1
"R6,R10,R13",RMCF0805JT1K00,3
R7,RMCF0805ZT0R00,1
R8,RMCF0805JT330R,1
R9,RMCF0805JT120R,1
SP1,PS1240P02BT,1
"SW1,SW2,SW3",FSMRA3JH,3
U2,LM2675MX-5.0/NOPB,1
U3,LM2675MX-3.3/NOPB,1
U5,DS3231S#,1
U7,ATMEGA328P-AU,1
X1,TSX-3225 16.0000MF09Z-AC3,1
P13,PRPC002SFAN-RC,1
"J1,J2,P11,P34",PREC003SAAN-RC,4
P5,PREC006SAAN-RC,1
"P9,P10",PREC004SAAN-RC,2
P4,PREC003DAAN-RC,1
