Ref      Val              Package            PosX       PosY        Rot      Side
BT1      BATT_HOLDER      CR2032             86.7500    38.5000     270.0    top
C1       100nF            c_0805             65.7000    31.5000     180.0    top
C2       22pF             c_0603             46.0000    27.5000      90.0    top
C3       22pF             c_0603             40.0000    27.5000     270.0    top
C4       100nF            c_0805             88.2500    54.2500      90.0    top
C5       330uF,25V        C_ELCO_SMD_8x10    69.5000    15.7500     270.0    top
C6       330uF,25V        C_ELCO_SMD_8x10    43.7500    15.7500     270.0    top
C7       100nF            c_0805             29.2500    69.0000     270.0    top
C8       100nF            c_0805             23.7500    69.0000     270.0    top
C9       100nF            c_0805             76.0000    53.5000      90.0    top
C10      100nF            c_0805             20.0000    69.0000     270.0    top
C11      100nF            c_0805             68.7500    53.5000      90.0    top
C12      10nF             c_0805             62.7500     5.0000      90.0    top
C13      100nF            c_0805             44.7500    46.5000     270.0    top
C14      100nF            c_0805             24.2500     3.2500      90.0    top
C15      10nF             c_0805             37.0000     5.0000      90.0    top
C16      100uF,10V        C_2917_HandSolde   72.5000     5.0000      90.0    top
C17      100nF            c_0805             55.9000    71.2000       0.0    top
C18      100uF,10V        C_2917_HandSolde   46.7500     5.0000      90.0    top
C19      100nF            c_0805             48.0000    41.5000      90.0    top
C23      100nF            c_0805             66.0000    36.5000       0.0    top
C27      100uF            C_ELCO_SMD         56.1000    65.9000      90.0    top
C28      100nF            c_0805             45.0000    31.0000       0.0    top
C29      100nF            c_0805             48.1500    53.5000     270.0    top
C31      100nF            c_0805             44.7500    35.0000     270.0    top
D1       ES1D-13-F        diode-DO214AC      28.2500    45.5000      90.0    top
D2       SS35             DO-214AB           58.2000    14.8000       0.0    top
D3       ES1D-13-F        diode-DO214AC      21.7500     7.0000     270.0    top
D4       ES1D-13-F        diode-DO214AC      85.5000    10.0000     180.0    top
D5       5V0              led_0805           73.5000    27.0000     270.0    top
D6       3V3              led_0805           70.7500    27.0000     270.0    top
D7       BLINK            led_0805           68.0000    27.0000     270.0    top
D8       12V              led_0805           76.2500    27.0000     270.0    top
D9       ES1D-13-F        diode-DO214AC      28.2500    34.0000      90.0    top
D10      SS35             DO-214AB           32.5000    14.8000       0.0    top
J1       5V_EXT           Header_3           56.3000    19.6000       0.0    top
J2       3V3_EXT          Header_3           30.5000    19.6000       0.0    top
L1       33uH             Choke_SMD_Wuerth   57.2500     5.7500     270.0    top
L2       33uH             Choke_SMD_Wuerth   31.5000     5.7500     270.0    top
P1       AREF             ShortLink2         62.2500    31.5000     270.0    top
P4       ICSP             Header_ISP         53.5000    42.5000       0.0    top
P5       FTDI             Header_FTDI        91.0000    58.5000     270.0    top
P7       GAGE_PR          HCEM500GUH9P3      12.0000    63.0000     180.0    top
P9       C3SB             pin_strip_4-90     78.2500    58.2500      90.0    top
P10      C3SB             pin_strip_4-90     71.0000    58.2500      90.0    top
P11      VSel_Vlv         Header_3           42.0000    45.5000      90.0    top
P13      PWR_IN           Header_2           85.5000     5.0000       0.0    top
P14      X_VALVE          X_Valve_2          23.0000    45.5000     180.0    top
P24      PWR_IN           JACK_ALIM          86.7500    17.8000     180.0    top
P34      VSel_Vlv2        Header_3           42.0000    34.0000      90.0    top
P38      X_VALVE2         X_Valve_2          23.0000    34.0000     180.0    top
Q1       BCP5416TA        SOT223             35.0000    45.5000      90.0    top
Q2       BCP5416TA        SOT223             53.5000    58.0000      90.0    top
Q3       BCP5416TA        SOT223             35.0000    34.0000      90.0    top
Q4       BCP5416TA        SOT223             21.7500    15.5000     180.0    top
R1       10k              r_0805             66.0000    66.0000       0.0    top
R2       10k              r_0805             82.7500    59.5000       0.0    top
R3       10k              r_0805             82.7500    56.7500       0.0    top
R4       10k              r_0805             26.5000    56.0000     180.0    top
R5       4k7              r_0805             45.9500    53.5500      90.0    top
R6       1k               r_0805             24.2500     7.0000     270.0    top
R7       Zero             r_0805             26.5000    53.7000     180.0    top
R8       330E             r_0805             73.5000    23.2500     270.0    top
R9       120E             r_0805             70.7500    23.2500     270.0    top
R10      1k               r_0805             68.0000    23.2500     270.0    top
R11      10k              r_0805             70.0000    36.5000       0.0    top
R12      10k              r_0805             44.7000    42.7000     270.0    top
R13      1k               r_0805             76.2500    23.2500     270.0    top
R14      10k              r_0805             38.0000    27.5000     270.0    top
R15      10k              r_0805             23.0000    21.7000     180.0    top
R16      10k              r_0805             50.3500    53.5000     270.0    top
R21      10k              r_0805             86.0000    66.0000       0.0    top
R22      10k              r_0805             76.0000    66.0000       0.0    top
SC10     SCREW            vite_3mm           95.0000     4.0000       0.0    top
SP1      BUZZER           Speaker            10.7500    13.7500       0.0    top
SW1      Reset            SW_PB_V_H          66.0000    75.0000     270.0    top
SW2      INT0             SW_PB_V_H          86.0000    75.0000     270.0    top
SW3      INT1             SW_PB_V_H          76.0000    75.0000     270.0    top
U1       TXB0104D         TXB0104D           26.5000    62.0000     270.0    top
U2       LM2675-5.0       SO8E               66.7500     5.0000       0.0    top
U3       LM2675-3.3       SO8E               41.0000     5.0000       0.0    top
U5       DS3231N          DS3231             68.0000    43.7500      90.0    top
U7       ATMEGA328P-AU-ND TQFP32             53.2500    31.8000       0.0    top
W1       EN               r_0805             68.5000    10.2500       0.0    top
W2       EN               r_0805             42.7500    10.2500       0.0    top
X1       16MHz            Xtal_SMD3          43.0000    27.5000     180.0    top
